编码,日期,销量
3018,20150501,4.630478443879786
3018,20150502,4.010600794844395
3018,20150503,6.028111528560752
3018,20150504,6.347463136142623
3018,20150505,4.670701525707104
3018,20150506,6.694758997980405
3018,20150507,6.480359843569269
3018,20150508,4.78630185173943
3018,20150509,3.9730168845472504
3018,20150510,5.267816427080011
3018,20150511,5.925634521477355
3018,20150512,5.076586384223829
3018,20150513,6.880793708141736
3018,20150514,6.438418890395331
3018,20150515,4.859193164926437
3018,20150516,3.9940313746395413
3018,20150517,4.97750424002284
3018,20150518,5.771269082604452
3018,20150519,5.247312222854542
3018,20150520,6.986183609045496
3018,20150521,6.432339926000734
3018,20150522,4.894078525521155
3018,20150523,4.021825538140282
3018,20150524,4.826050196418036
3018,20150525,5.696967144199958
3018,20150526,5.34742782768067
3018,20150527,7.057668931506711
3018,20150528,6.436191881889656
3018,20150529,4.913090558987505
3018,20150530,4.049337540988322
