编码,日期,销量
2011,20150501,6.796839651922171
2011,20150502,7.432799715950129
2011,20150503,7.598674470379968
2011,20150504,6.751879055285394
2011,20150505,9.819760445153772
2011,20150506,20.064684605887003
2011,20150507,9.681978884778063
2011,20150508,6.766053069125314
2011,20150509,7.455205046683237
2011,20150510,7.211762277350621
2011,20150511,7.265376062372958
2011,20150512,9.77840607444096
2011,20150513,18.074484688640638
2011,20150514,9.852172172747974
2011,20150515,6.780689940545711
2011,20150516,7.471192913740194
2011,20150517,7.052751848465491
2011,20150518,7.565793375702264
2011,20150519,9.730222369666818
2011,20150520,17.186898106395024
2011,20150521,9.928803522513762
2011,20150522,6.807737156028211
2011,20150523,7.48764864550479
2011,20150524,6.960209791617046
2011,20150525,7.770472754561863
2011,20150526,9.69362495239805
2011,20150527,16.66940664982511
2011,20150528,9.968326460597925
2011,20150529,6.837472709370797
2011,20150530,7.503920199278884
