编码,日期,销量
12,2015-09-01,116.5847150493224
12,2015-09-02,175.53424735092878
12,2015-09-03,121.39895353882969
12,2015-09-04,112.19077445543569
12,2015-09-05,122.99822004127091
12,2015-09-06,110.82381876352474
12,2015-09-07,120.93202123639307
12,2015-09-08,120.80546326391415
12,2015-09-09,182.7001481125875
12,2015-09-11,114.15269883052446
12,2015-09-12,123.77749909834401
12,2015-09-13,113.65912613230182
12,2015-09-14,122.58413100466763
12,2015-09-15,122.60534300085993
12,2015-09-16,186.39416083233496
12,2015-09-17,121.16974038165587
12,2015-09-18,115.01527336634548
12,2015-09-19,124.2329885487042
12,2015-09-20,115.13547922122861
12,2015-09-21,123.77178640863397
12,2015-09-22,123.6280851422393
12,2015-09-23,188.79955655961163
12,2015-09-24,121.57352640990635
12,2015-09-25,115.51722350227205
12,2015-09-26,124.50587868067169
12,2015-09-27,116.08006832437616
12,2015-09-28,124.65002901136786
12,2015-09-29,124.29401566934284
12,2015-09-30,190.5385334020794
12,2015-10-01,121.97011536120228
12,2015-10-02,115.85048333036772
12,2015-10-03,124.67688617573745
12,2015-10-04,116.74731294872856
12,2015-10-05,125.32689509788187
12,2015-10-06,124.76373542052092
12,2015-10-07,191.87334926913795
12,2015-10-08,122.33196935702772
12,2015-10-09,116.08942308143733
12,2015-10-10,124.7874700792794
12,2015-10-11,117.24779626530514
12,2015-10-12,125.86624794348724
12,2015-10-13,125.11306747987908
12,2015-10-14,192.93894144786432
12,2015-10-15,122.65524596961241
12,2015-10-16,116.2696041142144
12,2015-10-17,124.86025012208881
12,2015-10-18,117.63886610919205
12,2015-10-19,126.30737383836319
12,2015-10-20,125.3828843215148
12,2015-10-21,193.81372631924313
12,2015-10-22,122.94260083573548
12,2015-10-23,116.41042882653225
12,2015-10-24,124.9083635929089
12,2015-10-25,117.95372467976645
12,2015-10-26,126.67569517165998
12,2015-10-27,125.59731964972013
12,2015-10-28,194.5471748785378
12,2015-10-29,123.1982471736024
